,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
Vamsi/T5_Paraphrase_Paws,0.28809644344378976,0.1338410580475796,0.21005351896087235,0.07569085236054739,0.5647074788808822
google/flan-t5-base,0.33685688241973377,0.14080027333124331,0.24616408039664822,0.05947964599423977,0.5961086586117744
t5-base,0.3291238573024158,0.14281174653214418,0.23887847555411096,0.05450561192818787,0.5946943879127502
t5-large,0.31723583503795605,0.1556853780948289,0.24671368866434246,0.07642979812386613,0.585754506289959
t5-small,0.28461904109615266,0.11446485986163885,0.19327538246047501,0.04745754575913296,0.5602026209235191
