,Vamsi/T5_Paraphrase_Paws,google/flan-t5-base,t5-base,t5-large,t5-small
Zero-shot,0.3237270979603696,0.2652081784813786,0.29622980265976634,0.3240603356498496,0.24712790744072288
Few-shot,0.185228642717099,0.2865556378200772,0.24777582903207723,0.22866734683453144,0.23287987259964454
