,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
Zero-shot,0.34970204570693786,0.1645325676374681,0.2596104504313322,0.0745351018449606,0.6079731565713883
Few-shot,0.27267077801308137,0.11050875870950586,0.19442360798324743,0.05089027982142905,0.5526139044761658
