article_index,model,prompt,rouge1,rouge2,rougeL,bleu,bertscore_f1,ref_len,pred_len
4,t5-base,zero,0.14035087719298248,0.07272727272727274,0.14035087719298248,0.0,0.5423094630241394,29,32
4,t5-base,few,0.18421052631578946,0.08108108108108109,0.13157894736842107,0.0,0.5207012891769409,29,50
5,t5-base,zero,0.358974358974359,0.07894736842105263,0.28205128205128205,0.0,0.6588966250419617,41,41
5,t5-base,few,0.2,0.05128205128205128,0.15,0.0,0.5516570210456848,41,44
6,t5-base,zero,0.1764705882352941,0.0,0.1176470588235294,0.0,0.5166038274765015,21,49
6,t5-base,few,0.09836065573770492,0.0,0.09836065573770492,0.0,0.4601571559906006,21,43
7,t5-base,zero,0.49382716049382713,0.27848101265822783,0.2962962962962963,0.07318838941709915,0.6534481048583984,49,35
7,t5-base,few,0.4186046511627907,0.09523809523809525,0.1627906976744186,0.062433099232862777,0.645696759223938,49,41
8,t5-base,zero,0.33333333333333337,0.11428571428571428,0.25,0.0,0.5712321400642395,41,36
8,t5-base,few,0.3544303797468354,0.12987012987012989,0.27848101265822783,0.0,0.5674268007278442,41,42
9,t5-base,zero,0.6557377049180327,0.5333333333333333,0.6065573770491803,0.43863063121649054,0.7747130393981934,65,61
9,t5-base,few,0.5321100917431192,0.39252336448598124,0.40366972477064217,0.21159398395039083,0.7096072435379028,65,49
0,t5-large,zero,0.35555555555555557,0.1590909090909091,0.28888888888888886,0.06007919342322084,0.575034499168396,49,47
0,t5-large,few,0.5647058823529412,0.4337349397590362,0.4235294117647059,0.24034022413989914,0.6913436055183411,49,43
1,t5-large,zero,0.3947368421052631,0.13513513513513514,0.15789473684210528,0.0,0.6172253489494324,34,40
1,t5-large,few,0.20253164556962028,0.05194805194805195,0.1518987341772152,0.0,0.5088106393814087,34,44
2,t5-large,zero,0.33766233766233766,0.10666666666666667,0.2597402597402597,0.0,0.5744625926017761,38,40
2,t5-large,few,0.14814814814814817,0.0,0.14814814814814817,0.0,0.44769197702407837,38,45
3,t5-large,zero,0.5333333333333334,0.40909090909090906,0.5111111111111112,0.2541994937342853,0.7113832235336304,51,38
3,t5-large,few,0.04395604395604396,0.0,0.02197802197802198,0.0,0.4109109044075012,51,39
4,t5-large,zero,0.18518518518518517,0.07692307692307693,0.14814814814814814,0.0,0.5700340867042542,29,28
4,t5-large,few,0.14925373134328357,0.0,0.08955223880597014,0.0,0.48200270533561707,29,41
5,t5-large,zero,0.3373493975903615,0.07407407407407408,0.26506024096385544,0.0,0.6047416925430298,41,46
5,t5-large,few,0.14457831325301204,0.024691358024691357,0.0963855421686747,0.0,0.416199266910553,41,44
6,t5-large,zero,0.1818181818181818,0.04761904761904762,0.1818181818181818,0.0,0.6262710690498352,21,28
6,t5-large,few,0.15384615384615385,0.0,0.11538461538461539,0.0,0.5501802563667297,21,35
7,t5-large,zero,0.4807692307692307,0.17647058823529413,0.21153846153846154,0.06638380478545246,0.6516628265380859,49,60
7,t5-large,few,0.18390804597701152,0.07058823529411765,0.1379310344827586,0.0,0.5101187825202942,49,40
8,t5-large,zero,0.4,0.24657534246575344,0.37333333333333335,0.18433853343955847,0.6357507109642029,41,41
8,t5-large,few,0.4000000000000001,0.14705882352941177,0.2571428571428572,0.13687336332552907,0.6581869125366211,41,36
9,t5-large,zero,0.6721311475409837,0.5499999999999999,0.6393442622950819,0.3950197011751017,0.7793654203414917,65,61
9,t5-large,few,0.4752475247524752,0.4040404040404041,0.45544554455445546,0.1913616484542762,0.6937136054039001,65,40
0,google/flan-t5-base,zero,0.3376623376623376,0.10666666666666667,0.2857142857142857,0.0700411192831744,0.5616251230239868,49,29
0,google/flan-t5-base,few,0.43902439024390244,0.225,0.31707317073170727,0.1476270998770623,0.6199160814285278,49,35
1,google/flan-t5-base,zero,0.3225806451612903,0.13333333333333333,0.1935483870967742,0.0,0.5679409503936768,34,26
1,google/flan-t5-base,few,0.5,0.12121212121212122,0.29411764705882354,0.0,0.6352056264877319,34,31
